id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
714585,Group Favour (DH) in Wan Chai,1452499,Sally,,Wan Chai,22.27903956441603,114.1708416767038,Entire home/apt,1868,3,195,2018-08-11,2.80,7,314
719274,"Monthly rental, City centre",3707765,Amy,,Wan Chai,22.285189663596856,114.19191682268583,Private room,652,2,0,,,5,365
720841,Clean coxy 30 sec to Jordan MTR Rm8,3383055,Kiki,,Yau Tsim Mong,22.3059933332471,114.17119850205093,Private room,298,1,29,2016-11-27,0.41,10,365
723961,Victoria Park! 2bedr 2Baths CWB,3707765,Amy,,Wan Chai,22.285520348030122,114.19012265521263,Entire home/apt,879,2,18,2016-08-01,0.26,5,219
724382,"Tidy, quiet with windows, near Jordan MTR, room 6",3704487,Daniel,,Yau Tsim Mong,22.307451644078093,114.17137899804005,Private room,361,1,183,2018-08-08,2.57,7,284
724428,"Tidy, quiet with windows, near Jordan MTR, room 7",3704487,Daniel,,Yau Tsim Mong,22.30758873142328,114.17104982252992,Private room,361,1,140,2018-06-28,1.98,7,295
724853,"Tidy, Cozy and Clean Room 9",3704487,Daniel,,Yau Tsim Mong,22.306196153175257,114.17223988989383,Private room,322,1,86,2018-08-13,1.22,7,320
724874,"Tidy, Cozy and Clean Room 8",3704487,Daniel,,Yau Tsim Mong,22.306147114864697,114.17108159156672,Private room,322,1,165,2018-08-14,2.35,7,290
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31692183238985,114.16989949844994,Private room,322,28,8,2018-01-03,0.12,4,236
728126,Harbor View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.316182731200318,114.16924133211148,Private room,392,28,17,2017-10-08,0.26,4,224
730356,Clean coxy 30 sec to Jordan MTR Rm6,3383055,Kiki,,Yau Tsim Mong,22.30757492492606,114.17138769899525,Private room,502,1,19,2017-12-15,0.27,10,348
730367,Clean coxy 30 sec to Jordan MTR Rm7,3383055,Kiki,,Yau Tsim Mong,22.307608281329077,114.17112324596819,Private room,447,1,23,2018-04-14,0.32,10,365
730379,"",3383055,Kiki,,Yau Tsim Mong,22.30617754918912,114.172209852297,Private room,471,1,22,2016-10-05,0.31,10,365
733192,Lux' Quiet safe 2 B.R Great Location: 1 min to MTR,3820308,Dave,,Yau Tsim Mong,22.322427441905052,114.16974159906033,Entire home/apt,848,3,73,2018-07-23,1.03,14,258
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.318273456319027,114.16852931681436,Private room,377,5,13,2017-10-23,0.19,4,234
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.316424948199142,114.17002621061204,Private room,283,5,34,2018-08-05,0.50,4,241
742349,2 Bed Rooms@Mongkok Langham Place,3776595,Lam,,Yau Tsim Mong,22.319410881244533,114.16733519314525,Entire home/apt,848,4,190,2018-08-15,2.69,8,114
744230,Charming 1 BR appt + roof in Soho,3900338,Marie,,Central & Western,22.28220006668967,114.15180486697346,Entire home/apt,1013,2,7,2016-03-08,0.19,2,0
748065,Hoi Shing Hotel - Triple Rm (3ppl),2953879,Biosze,,Yau Tsim Mong,22.306811738688225,114.17151349621149,Entire home/apt,652,1,7,2018-07-30,0.12,8,363
748127,Hoi Shing House - Family Rm (3 adults & 1 kid),2953879,Biosze,,Yau Tsim Mong,22.305180075290078,114.17119593955167,Entire home/apt,754,1,4,2018-07-23,0.06,8,365
748158,Hoi Shing Hotel - Double Bed Rm,2953879,Biosze,,Yau Tsim Mong,22.30623714170137,114.1713807216622,Entire home/apt,447,1,13,2018-07-14,0.19,8,362
748178,Hoi Shing Hotel - Twins bed Rm(2pp),2953879,Biosze,,Yau Tsim Mong,22.305114639021358,114.17221555153581,Entire home/apt,447,1,9,2017-08-27,0.13,8,365
749904,New Renovated! 2BR High Lv@ Mongkok MTR Argyle St.,3934072,Paul,,Kowloon City,22.320698720986794,114.17329182387573,Entire home/apt,832,1,144,2018-07-28,2.07,3,120
754511,"Best of Causeway Bay, Tai Hang",3970555,Quentin,,Wan Chai,22.27925931675928,114.1920702049465,Entire home/apt,722,4,14,2016-01-05,0.20,1,0
757034,MK MTR 3 Bedrooms with (2 toilets) for 1-7ppl,2232885,Cathy,,Yau Tsim Mong,22.320458729793945,114.17284294015832,Entire home/apt,1083,3,81,2018-08-05,1.16,6,0
758472,"Lady Market, Mongkok MTR 2BR Apt",3934072,Paul,,Yau Tsim Mong,22.31647518643715,114.17240546958583,Entire home/apt,848,4,140,2018-07-21,2.00,3,252
764696,Single bed room with green view ,4031260,Jen Ai,,North,22.502621295920274,114.13418070485521,Private room,298,2,38,2018-06-23,0.54,2,296
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23011310685668,114.21856290849904,Entire home/apt,5102,90,5,2017-04-16,0.07,1,0
767500,Cozy Double Rm 1 next to Jordan MTR,4048151,Stephen,,Yau Tsim Mong,22.306315140440006,114.1707872172433,Private room,330,1,176,2018-08-01,2.59,9,319
767707,MK superior house 2 rms fit 6 pp,3800609,Zoe,,Yau Tsim Mong,22.31841049222144,114.16980701008139,Entire home/apt,1099,1,126,2018-07-22,1.86,13,316
775458,Harbour Front + City Center + Cozy ,2007350,Mandy & Henry,,Wan Chai,22.280673305113304,114.17878025295649,Entire home/apt,1350,2,280,2018-07-22,4.01,1,91
775479,Looking forward for your visit !! Female only,4090623,Lau,,Yau Tsim Mong,22.31949694330741,114.16798895908292,Private room,220,1,144,2018-08-01,2.58,3,0
777196,"Budget offer! 2 BR, Jordan MTR",3776595,Lam,,Yau Tsim Mong,22.30773745162692,114.1679781988397,Entire home/apt,997,4,215,2018-08-02,3.09,8,40
777269,wifiCauseway Bay cozy stu 2mins>MTR,2283777,Jennifer,,Wan Chai,22.27912134782684,114.18397981567728,Entire home/apt,353,1,100,2018-06-19,1.46,18,346
782604,2BRs Serviced Apartment@KennedyTown,4127290,Stephen,,Central & Western,22.2834556394942,114.13046907463958,Entire home/apt,997,27,26,2018-06-20,0.38,2,168
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,,Central & Western,22.280001115976848,114.15218371782058,Entire home/apt,981,3,18,2018-07-31,0.28,2,52
793175,一個簡單的家......一個寧靜適合休息的家。,4179437,佩茵,,Sha Tin,22.37020378456981,114.172728258609,Shared room,196,1,0,,,1,0
800155,(WO)2BR 3min Time square CWB MTR apt,1428352,Ivan,,Wan Chai,22.27910093634381,114.18098900821798,Entire home/apt,926,2,232,2018-07-21,3.36,6,34
803701,"STILL SPACE, Spacious beautiful Apt",1321952,Timothy,,Central & Western,22.285589377312185,114.15048265262813,Private room,777,1,48,2018-08-14,0.69,2,155
811505,Boutique 1 bedroom Apartment  8 mins to Soho,4267218,Mandy,,Central & Western,22.28358853461458,114.14684773421,Entire home/apt,903,3,35,2018-07-13,0.51,1,0
818627,Village House with Stunning Views,694068,Cecilie,,Islands,22.244660187438893,113.9718801128016,Entire home/apt,903,4,7,2016-09-12,0.10,2,0
818680,A splendid flat to rent,4110022,Infante,,Southern,22.21834949234255,114.2091702156109,Entire home/apt,903,28,1,2013-01-04,0.01,2,226
